Name,NORAD ID,Int'l Code,Launch date,"Period
[minutes]",Longitude,Action,Longitude,sat_name,sat_operator,long_string,x_coord,y_coord,include
EUTE 16C (SESAT 1),26243,2000-019A,"April 17, 2000",1455.2,157° W,TRACK IT,-157,EUTE 16C (SESAT 1),Europe,157° W,0.602,0.278,TRUE
ANIK C3 (TELESAT-5),13652,1982-110C,"November 11, 1982",1441.3,155.9° W,TRACK IT,-155.9,ANIK C3 (TELESAT-5),Canada,155.9° W,0.586,0.280,TRUE
ECHOSTAR 8,27501,2002-039A,"August 22, 2002",1461.8,155° W,TRACK IT,-155,ECHOSTAR 8,United States,155° W,0.574,0.281,TRUE
TELSTAR 303,15826,1985-048D,"June 17, 1985",1441.8,154.2° W,TRACK IT,-154.2,TELSTAR 303,United States,154.2° W,0.562,0.282,TRUE
GALAXY 3,15308,1984-101A,"September 21, 1984",1442.3,153.9° W,TRACK IT,-153.9,GALAXY 3,United States,153.9° W,0.558,0.286,TRUE
DIRECTV 6 (TEMPO 2),24748,1997-011A,"March 8, 1997",1454.1,153.6° W,TRACK IT,-153.6,DIRECTV 6 (TEMPO 2),United States,153.6° W,0.553,0.288,TRUE
NAHUEL 1A,24714,1997-002B,"January 30, 1997",1448.9,153.4° W,TRACK IT,-153.4,NAHUEL 1A,Argentina,153.4° W,0.550,0.290,TRUE
OPS 3151,9803,1977-007A,"February 6, 1977",1476.5,153.4° W,TRACK IT,-153.4,OPS 3151,United States,153.4° W,0.550,0.291,TRUE
EKRAN 16,18328,1987-073A,"September 3, 1987",1492.5,153.1° W,TRACK IT,-153.1,EKRAN 16,Russia,153.1° W,0.546,0.292,TRUE
WESTAR 2,7466,1974-075A,"October 10, 1974",1442.1,152.8° W,TRACK IT,-152.8,WESTAR 2,United States,152.8° W,0.542,0.292,TRUE
GALAXY 1R,23016,1994-013A,"February 19, 1994",1451.3,152.5° W,TRACK IT,-152.5,GALAXY 1R,United States,152.5° W,0.537,0.292,TRUE
INTELSAT 801,24742,1997-009A,"March 1, 1997",1458.4,152.2° W,TRACK IT,-152.2,INTELSAT 801,Intelsat,152.2° W,0.533,0.292,TRUE
RADUGA-1 8,34264,2009-010A,"February 28, 2009",1442.5,150.9° W,TRACK IT,-150.9,RADUGA-1 8,Russia,150.9° W,0.514,0.292,TRUE
BRAZILSAT 1,15561,1985-015B,"February 8, 1985",1446.5,150° W,TRACK IT,-150,BRAZILSAT 1,Brazil,150° W,0.500,0.294,TRUE
THOR 2A,24808,1997-025A,"May 20, 1997",1455,149.6° W,TRACK IT,-149.6,THOR 2A,Norway,149.6° W,0.494,0.295,TRUE
EXPRESS 2A,26098,2000-013A,"March 12, 2000",1465.6,149.4° W,TRACK IT,-149.4,EXPRESS 2A,Russia,149.4° W,0.491,0.296,TRUE
KIKU 5 (ETS 5),18316,1987-070A,"August 27, 1987",1449.7,149.1° W,TRACK IT,-149.1,KIKU 5 (ETS 5),Japan,149.1° W,0.486,0.296,TRUE
USA 143,25724,1999-023A,"April 30, 1999",153.6,149° W,TRACK IT,-149,USA 143,United States,149° W,0.485,0.296,TRUE
ARABSAT 1B,15825,1985-048C,"June 17, 1985",1434,148.3° W,TRACK IT,-148.3,ARABSAT 1B,Arabsat,148.3° W,0.474,0.298,TRUE
COSMOS 2172,21789,1991-079A,"November 22, 1991",1434.9,147.3° W,TRACK IT,-147.3,COSMOS 2172,Russia,147.3° W,0.459,0.298,TRUE
SPACENET 3R,18951,1988-018A,"March 11, 1988",1444.9,146.1° W,TRACK IT,-146.1,SPACENET 3R,United States,146.1° W,0.440,0.298,TRUE
COSMOS 2397,27775,2003-015A,"April 24, 2003",1433.2,144.9° W,TRACK IT,-144.9,COSMOS 2397,Russia,144.9° W,0.421,0.299,TRUE
EKRAN 8,13056,1982-009A,"February 5, 1982",1440.9,144.6° W,TRACK IT,-144.6,EKRAN 8,Russia,144.6° W,0.416,0.300,TRUE
CHINASAT 5B (SINOSAT 1),25404,1998-044A,"July 18, 1998",1451.8,144.1° W,TRACK IT,-144.1,CHINASAT 5B (SINOSAT 1),China,144.1° W,0.408,0.300,TRUE
SBS 6,20872,1990-091A,"October 12, 1990",1454.7,142.3° W,TRACK IT,-142.3,SBS 6,United States,142.3° W,0.379,0.301,TRUE
OPS 2222,3334,1968-063A,"August 6, 1968",1450.9,141.5° W,TRACK IT,-141.5,OPS 2222,United States,141.5° W,0.367,0.301,TRUE
OLYMPUS 1,20122,1989-053A,"July 12, 1989",1420.5,140° W,TRACK IT,-140,OLYMPUS 1,Europe,140° W,0.342,0.301,TRUE
DUMMY SAT 2/BREEZE-M,40355,2014-085A,"December 23, 2014",1530.9,139.9° W,TRACK IT,-139.9,DUMMY SAT 2/BREEZE-M,Russia,139.9° W,0.340,0.302,TRUE
AMC-18,29644,2006-054B,"December 8, 2006",1436.1,139° W,TRACK IT,-139,AMC-18,SES,139° W,0.326,0.302,TRUE
GOES 12,26871,2001-031A,"July 23, 2001",1452.5,139° W,TRACK IT,-139,GOES 12,United States,139° W,0.326,0.303,TRUE
AMC-8 (GE-8),26639,2000-081B,"December 20, 2000",1436.1,139° W,TRACK IT,-139,AMC-8 (GE-8),SES,139° W,0.326,0.303,TRUE
ECHOSTAR 3,25004,1997-059A,"October 5, 1997",1456.4,139° W,TRACK IT,-139,ECHOSTAR 3,United States,139° W,0.326,0.303,TRUE
SPACEWAY 1,28644,2005-015A,"April 26, 2005",1436.1,138.9° W,TRACK IT,-138.9,SPACEWAY 1,United States,138.9° W,0.324,0.303,TRUE
GALAXY 6,20873,1990-091B,"October 12, 1990",1443.5,138.2° W,TRACK IT,-138.2,GALAXY 6,United States,138.2° W,0.312,0.304,TRUE
GOES 17,43226,2018-022A,"March 1, 2018",1436.1,137.2° W,TRACK IT,-137.2,GOES 17,United States,137.2° W,0.296,0.305,TRUE
INTELSAT 5 (PAS 5),24916,1997-046A,"August 28, 1997",1436.1,136.9° W,TRACK IT,-136.9,INTELSAT 5 (PAS 5),United States,136.9° W,0.291,0.305,TRUE
INSAT 2D,24820,1997-027B,"June 3, 1997",1374.1,136.9° W,TRACK IT,-136.9,INSAT 2D,India,136.9° W,0.291,0.305,TRUE
GALAXY 2,14365,1983-098A,"September 22, 1983",1437.7,136.8° W,TRACK IT,-136.8,GALAXY 2,United States,136.8° W,0.289,0.306,TRUE
WGS F6 (USA 244),39222,2013-041A,"August 8, 2013",1436.1,135.2° W,TRACK IT,-135.2,WGS F6 (USA 244),United States,135.2° W,0.262,0.306,TRUE
COSMOS 637,7229,1974-017A,"March 26, 1974",1428.8,135.1° W,TRACK IT,-135.1,COSMOS 637,Russia,135.1° W,0.261,0.307,TRUE
AMC-7 (GE-7),26495,2000-054B,"September 14, 2000",1436.1,135° W,TRACK IT,-135,AMC-7 (GE-7),SES,135° W,0.259,0.307,TRUE
AMC-4 (GE-4),25954,1999-060A,"November 13, 1999",1436.1,134.9° W,TRACK IT,-134.9,AMC-4 (GE-4),SES,134.9° W,0.257,0.308,TRUE
