Name,NORAD ID,Int'l Code,Launch date,"Period
[minutes]",Longitude,Action,Longitude,sat_name,sat_operator,long_string,x_coord,y_coord,include
GSTAR 1,15677,1985-035A,"May 8, 1985",1436.1,106.1° W,TRACK IT,-106.1,GSTAR 1,United States,106.1° W,-0.240228,0.299968,TRUE
ITALSAT 1,21055,1991-003A,"January 15, 1991",1440.7,105.5° W,TRACK IT,-105.5,ITALSAT 1,Italy,105.5° W,-0.250380,0.299174,TRUE
GSTAR 3,19483,1988-081A,"September 8, 1988",1436.1,105.1° W,TRACK IT,-105.1,GSTAR 3,United States,105.1° W,-0.257133,0.298627,TRUE
SATCOM C5,13631,1982-105A,"October 28, 1982",1436.1,105.1° W,TRACK IT,-105.1,SATCOM C5,United States,105.1° W,-0.257133,0.298627,TRUE
AMC-15,28446,2004-041A,"October 14, 2004",1436.1,105° W,TRACK IT,-105,AMC-15,SES,105° W,-0.258819,0.298487,TRUE
ECHOSTAR 105/SES 11,42967,2017-063A,"October 11, 2017",1436.1,104.9° W,TRACK IT,-104.9,ECHOSTAR 105/SES 11,SES,104.9° W,-0.260505,0.298347,TRUE
LES 9,8747,1976-023B,"March 15, 1976",1436.1,104.8° W,TRACK IT,-104.8,LES 9,United States,104.8° W,-0.262189,0.298206,TRUE
SKYNET 1,4250,1969-101A,"November 22, 1969",1436.1,104.5° W,TRACK IT,-104.5,SKYNET 1,United Kingdom,104.5° W,-0.267238,0.297778,TRUE
NATO 2B,4902,1971-009A,"February 3, 1971",1436.1,104.5° W,TRACK IT,-104.5,NATO 2B,NATO,104.5° W,-0.267238,0.297778,TRUE
GOES 14,35491,2009-033A,"June 27, 2009",1436.1,104.4° W,TRACK IT,-104.4,GOES 14,United States,104.4° W,-0.268920,0.297634,TRUE
SES 3,37748,2011-035A,"July 15, 2011",1436.1,103° W,TRACK IT,-103,SES 3,United States,103° W,-0.292372,0.295514,TRUE
DIRECTV 10,31862,2007-032A,"July 7, 2007",1436.1,102.8° W,TRACK IT,-102.8,DIRECTV 10,United States,102.8° W,-0.295708,0.295197,TRUE
DIRECTV 12,36131,2009-075A,"December 29, 2009",1436.1,102.8° W,TRACK IT,-102.8,DIRECTV 12,United States,102.8° W,-0.295708,0.295197,TRUE
GALAXY 5,21906,1992-013A,"March 14, 1992",1450.4,102.5° W,TRACK IT,-102.5,GALAXY 5,United States,102.5° W,-0.300706,0.294715,TRUE
SOLIDARIDAD 1,22911,1993-073A,"November 20, 1993",1436,102.4° W,TRACK IT,-102.4,SOLIDARIDAD 1,Mexico,102.4° W,-0.302370,0.294552,TRUE
SKYNET 4A,20401,1990-001A,"January 1, 1990",1454.6,102.4° W,TRACK IT,-102.4,SKYNET 4A,United Kingdom,102.4° W,-0.302370,0.294552,TRUE
BRAZILSAT B1,23199,1994-049A,"August 10, 1994",1450.9,102.2° W,TRACK IT,-102.2,BRAZILSAT B1,Brazil,102.2° W,-0.305695,0.294224,TRUE
TELSTAR 401,22927,1993-077A,"December 16, 1993",1435.9,101.8° W,TRACK IT,-101.8,TELSTAR 401,United States,101.8° W,-0.312335,0.293558,TRUE
NATO 2A,4353,1970-021A,"March 20, 1970",1436,101.5° W,TRACK IT,-101.5,NATO 2A,NATO,101.5° W,-0.317305,0.293048,TRUE
OPS 8790,10787,1978-038A,"April 7, 1978",1433.2,101.3° W,TRACK IT,-101.3,OPS 8790,United States,101.3° W,-0.320613,0.292704,TRUE
SKYTERRA 1,37218,2010-061A,"November 14, 2010",1436.1,101.3° W,TRACK IT,-101.3,SKYTERRA 1,United States,101.3° W,-0.320613,0.292704,TRUE
JCSAT 1,19874,1989-020A,"March 6, 1989",1446.8,101.2° W,TRACK IT,-101.2,JCSAT 1,Japan,101.2° W,-0.322266,0.292531,TRUE
DIRECTV 4S,26985,2001-052A,"November 27, 2001",1436.1,101.2° W,TRACK IT,-101.2,DIRECTV 4S,United States,101.2° W,-0.322266,0.292531,TRUE
NEWSAT-1 (PALAPA B2R),20570,1990-034A,"April 13, 1990",1446.9,101.1° W,TRACK IT,-101.1,NEWSAT-1 (PALAPA B2R),United States,101.1° W,-0.323917,0.292356,TRUE
DIRECTV 9S,29494,2006-043A,"October 13, 2006",1436.1,101.1° W,TRACK IT,-101.1,DIRECTV 9S,United States,101.1° W,-0.323917,0.292356,TRUE
SES 1,36516,2010-016A,"April 24, 2010",1436.1,101° W,TRACK IT,-101,SES 1,SES,101° W,-0.325568,0.292181,TRUE
DIRECTV 15,40663,2015-026A,"May 27, 2015",1436.1,100.9° W,TRACK IT,-100.9,DIRECTV 15,United States,100.9° W,-0.327218,0.292005,TRUE
DIRECTV 8,28659,2005-019A,"May 22, 2005",1436.1,100.7° W,TRACK IT,-100.7,DIRECTV 8,United States,100.7° W,-0.330514,0.291651,TRUE
INSAT 3B,26108,2000-016B,"March 21, 2000",1445,100.1° W,TRACK IT,-100.1,INSAT 3B,India,100.1° W,-0.340380,0.290565,TRUE
ST 1,25460,1998-049A,"August 25, 1998",1458.3,99.7° W,TRACK IT,-99.7,ST 1,Singapore / Taiwan,99.7° W,-0.346936,0.289824,TRUE
METEOSAT 5 (MOP 2),21140,1991-015B,"March 2, 1991",1462.7,99.3° W,TRACK IT,-99.3,METEOSAT 5 (MOP 2),Europe,99.3° W,-0.353475,0.289068,TRUE
FLTSATCOM 5,12635,1981-073A,"August 6, 1981",1460.4,99.3° W,TRACK IT,-99.3,FLTSATCOM 5,United States,99.3° W,-0.353475,0.289068,TRUE
DIRECTV 14,40333,2014-078B,"December 6, 2014",1436.1,99.2° W,TRACK IT,-99.2,DIRECTV 14,United States,99.2° W,-0.355107,0.288877,TRUE
EKRAN 5,11890,1980-060A,"July 15, 1980",1434.6,99.2° W,TRACK IT,-99.2,EKRAN 5,Russia,99.2° W,-0.355107,0.288877,TRUE
DIRECTV 11,32729,2008-013A,"March 19, 2008",1436.1,99.2° W,TRACK IT,-99.2,DIRECTV 11,United States,99.2° W,-0.355107,0.288877,TRUE
SPACEWAY 2,28903,2005-046B,"November 16, 2005",1436.1,99.1° W,TRACK IT,-99.1,SPACEWAY 2,United States,99.1° W,-0.356738,0.288685,TRUE
GALAXY 16,29236,2006-023A,"June 18, 2006",1436.1,99° W,TRACK IT,-99,GALAXY 16,United States,99° W,-0.358368,0.288492,TRUE
BONUM 1,25546,1998-068A,"November 22, 1998",1454,98.3° W,TRACK IT,-98.3,BONUM 1,Russia,98.3° W,-0.369747,0.287118,TRUE
INMARSAT 4-F3,33278,2008-039A,"August 18, 2008",1436.1,98° W,TRACK IT,-98,INMARSAT 4-F3,Inmarsat,98° W,-0.374607,0.286516,TRUE
SMS 2,7648,1975-011A,"February 6, 1975",1447.1,97.4° W,TRACK IT,-97.4,SMS 2,United States,97.4° W,-0.384295,0.285288,TRUE
ECHOSTAR 19,41893,2016-079A,"December 18, 2016",1436.1,97.1° W,TRACK IT,-97.1,ECHOSTAR 19,United States,97.1° W,-0.389124,0.284662,TRUE
GALAXY 8,25086,1997-078A,"December 8, 1997",1444.4,97° W,TRACK IT,-97,GALAXY 8,United States,97° W,-0.390731,0.284452,TRUE
GALAXY 19,33376,2008-045A,"September 24, 2008",1436.1,97° W,TRACK IT,-97,GALAXY 19,United States,97° W,-0.390731,0.284452,TRUE
NATO 4A,21047,1991-001A,"January 8, 1991",1465.2,95.8° W,TRACK IT,-95.8,NATO 4A,NATO,95.8° W,-0.409923,0.281861,TRUE
USA 143,25724,1999-023A,"April 30, 1999",153.6,95.7° W,TRACK IT,-95.7,USA 143,United States,95.7° W,-0.411514,0.281639,TRUE
METEOSAT 6,22912,1993-073B,"November 20, 1993",1454.8,95.3° W,TRACK IT,-95.3,METEOSAT 6,Europe,95.3° W,-0.417867,0.280744,TRUE
HELLAS-SAT 2,27811,2003-020A,"May 13, 2003",1436.1,95.2° W,TRACK IT,-95.2,HELLAS-SAT 2,Greece,95.2° W,-0.419452,0.280519,TRUE
GALAXY 3C,27445,2002-030A,"June 15, 2002",1436.2,95° W,TRACK IT,-95,GALAXY 3C,United States,95° W,-0.422618,0.280065,TRUE
INTELSAT 30 (IS-30),40271,2014-062A,"October 16, 2014",1436,95° W,TRACK IT,-95,INTELSAT 30 (IS-30),Intelsat,95° W,-0.422618,0.280065,TRUE
NILESAT 102,26470,2000-046B,"August 17, 2000",1468.8,95° W,TRACK IT,-95,NILESAT 102,Egypt,95° W,-0.422618,0.280065,TRUE
SPACEWAY 3,32018,2007-036A,"August 14, 2007",1436.1,94.9° W,TRACK IT,-94.9,SPACEWAY 3,United States,94.9° W,-0.424199,0.279836,TRUE
TELSTAR 4 (TELSTAR 402R),23670,1995-049A,"September 24, 1995",1436.4,94.4° W,TRACK IT,-94.4,TELSTAR 4 (TELSTAR 402R),United States,94.4° W,-0.432086,0.278682,TRUE
AEHF 4 (USA 288),43651,2018-079A,"October 17, 2018",1436.1,94° W,TRACK IT,-94,AEHF 4 (USA 288),United States,94° W,-0.438371,0.277743,TRUE
COMSTAR 3,10975,1978-068A,"June 29, 1978",1451.7,93.2° W,TRACK IT,-93.2,COMSTAR 3,United States,93.2° W,-0.450878,0.275824,TRUE
GALAXY 25 (TELSTAR 5),24812,1997-026A,"May 24, 1997",1436.1,93° W,TRACK IT,-93,GALAXY 25 (TELSTAR 5),United States,93° W,-0.453990,0.275336,TRUE
ICO G-1,32763,2008-016A,"April 14, 2008",1436.1,92.8° W,TRACK IT,-92.8,ICO G-1,United States,92.8° W,-0.457098,0.274845,TRUE
APPLE,12545,1981-057B,"June 19, 1981",1439.6,92.7° W,TRACK IT,-92.7,APPLE,India,92.7° W,-0.458650,0.274598,TRUE
EUTELSAT W3B,37206,2010-056A,"October 28, 2010",579.8,92° W,TRACK IT,-92,EUTELSAT W3B,Europe,92° W,-0.469472,0.272846,TRUE
BRAZILSAT B4,26469,2000-046A,"August 17, 2000",1436.1,92° W,TRACK IT,-92,BRAZILSAT B4,Brazil,92° W,-0.469472,0.272846,TRUE
SATCOM 3R,12967,1981-114A,"November 20, 1981",1438.6,91.9° W,TRACK IT,-91.9,SATCOM 3R,United States,91.9° W,-0.471012,0.272592,TRUE
SBS 2,12855,1981-096A,"September 24, 1981",1438.4,91.8° W,TRACK IT,-91.8,SBS 2,United States,91.8° W,-0.472551,0.272338,TRUE
NSTAR A,23651,1995-044A,"August 29, 1995",1452.7,91.1° W,TRACK IT,-91.1,NSTAR A,Japan,91.1° W,-0.483282,0.270533,TRUE
NIMIQ 6,38342,2012-026A,"May 17, 2012",1436.1,91° W,TRACK IT,-91,NIMIQ 6,Canada,91° W,-0.484810,0.270272,TRUE
GALAXY 17,31307,2007-016B,"May 4, 2007",1436.1,91° W,TRACK IT,-91,GALAXY 17,United States,91° W,-0.484810,0.270272,TRUE
USA 115,23712,1995-060A,"November 6, 1995",1436.1,90.4° W,TRACK IT,-90.4,USA 115,United States,90.4° W,-0.493942,0.268689,TRUE
NATO 4B,22921,1993-076A,"December 8, 1993",1461.7,89.8° W,TRACK IT,-89.8,NATO 4B,NATO,89.8° W,-0.503020,0.267076,TRUE
CHINASAT 20,28082,2003-052A,"November 14, 2003",1452.9,89.8° W,TRACK IT,-89.8,CHINASAT 20,China,89.8° W,-0.503020,0.267076,TRUE
GALAXY 28 (IA 8),28702,2005-022A,"June 23, 2005",1436.1,89° W,TRACK IT,-89,GALAXY 28 (IA 8),Intelsat,89° W,-0.515038,0.264879,TRUE
TELECOM 2C,23730,1995-067A,"December 6, 1995",1470.3,87.9° W,TRACK IT,-87.9,TELECOM 2C,France,87.9° W,-0.531399,0.261775,TRUE
SATCOM K1,16482,1986-003B,"January 12, 1986",1446.5,87.8° W,TRACK IT,-87.8,SATCOM K1,United States,87.8° W,-0.532876,0.261488,TRUE
KAZSAT 1,29230,2006-022A,"June 17, 2006",1451.2,87.7° W,TRACK IT,-87.7,KAZSAT 1,Kazakhstan,87.7° W,-0.534352,0.261200,TRUE
TUPAC KATARI,39481,2013-075A,"December 20, 2013",1436.1,87.1° W,TRACK IT,-87.1,TUPAC KATARI,Bolivia,87.1° W,-0.543174,0.259457,TRUE
SES 2,37809,2011-049A,"September 21, 2011",1436.1,87° W,TRACK IT,-87,SES 2,SES,87° W,-0.544639,0.259163,TRUE
NIMIQ 1,25740,1999-027A,"May 20, 1999",1436.1,86.5° W,TRACK IT,-86.5,NIMIQ 1,Canada,86.5° W,-0.551937,0.257685,TRUE
ECHOSTAR 12 (RAINBOW 1),27852,2003-033A,"July 17, 2003",1436.1,86.4° W,TRACK IT,-86.4,ECHOSTAR 12 (RAINBOW 1),United States,86.4° W,-0.553392,0.257387,TRUE
NSS 806 (INTELSAT 806),25239,1998-014A,"February 28, 1998",1453.4,85.4° W,TRACK IT,-85.4,NSS 806 (INTELSAT 806),SES,85.4° W,-0.567844,0.254363,TRUE
XM-5,37185,2010-053A,"October 14, 2010",1436.1,85.2° W,TRACK IT,-85.2,XM-5,United States,85.2° W,-0.570714,0.253749,TRUE
XM-3,28626,2005-008A,"March 1, 2005",1436.1,85.1° W,TRACK IT,-85.1,XM-3,United States,85.1° W,-0.572146,0.253441,TRUE
AMC-16,28472,2004-048A,"December 17, 2004",1436.1,84.9° W,TRACK IT,-84.9,AMC-16,SES,84.9° W,-0.575005,0.252822,TRUE
AMC-2 (GE-2),24713,1997-002A,"January 30, 1997",1436.1,84.9° W,TRACK IT,-84.9,AMC-2 (GE-2),SES,84.9° W,-0.575005,0.252822,TRUE
SAKURA 2B (CS-2B),14248,1983-081A,"August 5, 1983",1457.3,84° W,TRACK IT,-84,SAKURA 2B (CS-2B),Japan,84° W,-0.587785,0.250000,TRUE
STARONE D1,41904,2016-082B,"December 21, 2016",1436.2,83.9° W,TRACK IT,-83.9,STARONE D1,Brazil,83.9° W,-0.589196,0.249683,TRUE
SUPERBIRD C,24880,1997-036A,"July 28, 1997",1453.5,83.9° W,TRACK IT,-83.9,SUPERBIRD C,Japan,83.9° W,-0.589196,0.249683,TRUE
INSAT 2D,24820,1997-027B,"June 3, 1997",1374.1,83.8° W,TRACK IT,-83.8,INSAT 2D,India,83.8° W,-0.590606,0.249364,TRUE
OPS 4258,10508,1977-114A,"December 11, 1977",1434.6,83.5° W,TRACK IT,-83.5,OPS 4258,United States,83.5° W,-0.594823,0.248405,TRUE
INTELSAT 6B (PAS 6B),25585,1998-075A,"December 22, 1998",1452.3,83.2° W,TRACK IT,-83.2,INTELSAT 6B (PAS 6B),United States,83.2° W,-0.599024,0.247440,TRUE
EKRAN 10,13878,1983-016A,"March 12, 1983",1515.3,83.2° W,TRACK IT,-83.2,EKRAN 10,Russia,83.2° W,-0.599024,0.247440,TRUE
INTELSAT 702,23124,1994-034A,"June 17, 1994",1455.5,83.1° W,TRACK IT,-83.1,INTELSAT 702,Intelsat,83.1° W,-0.600420,0.247116,TRUE
AMC-6 (GE-6),26580,2000-067A,"October 21, 2000",1436.1,83° W,TRACK IT,-83,AMC-6 (GE-6),SES,83° W,-0.601815,0.246792,TRUE
NIMIQ 4,33373,2008-044A,"September 19, 2008",1436,81.9° W,TRACK IT,-81.9,NIMIQ 4,Canada,81.9° W,-0.617036,0.243176,TRUE
TDRS 1,13969,1983-026B,"April 4, 1983",1458.3,81.8° W,TRACK IT,-81.8,TDRS 1,United States,81.8° W,-0.618408,0.242843,TRUE
ASC 1,15994,1985-076C,"August 27, 1985",1436.1,81.4° W,TRACK IT,-81.4,ASC 1,United States,81.4° W,-0.623880,0.241503,TRUE
ARSAT 2,40941,2015-054B,"September 30, 2015",1436.1,81° W,TRACK IT,-81,ARSAT 2,Argentina,81° W,-0.629320,0.240151,TRUE
TVSAT 2,20168,1989-062A,"August 8, 1989",1442.3,80.6° W,TRACK IT,-80.6,TVSAT 2,Germany,80.6° W,-0.634731,0.238788,TRUE
GORIZONT 32,23880,1996-034A,"May 25, 1996",1437.8,80.6° W,TRACK IT,-80.6,GORIZONT 32,Russia,80.6° W,-0.634731,0.238788,TRUE
DFS 2,20706,1990-063B,"July 24, 1990",1446.6,78.9° W,TRACK IT,-78.9,DFS 2,Germany,78.9° W,-0.657375,0.232864,TRUE
SKY MEXICO-1,40664,2015-026B,"May 27, 2015",1436.1,78.8° W,TRACK IT,-78.8,SKY MEXICO-1,Mexico,78.8° W,-0.658689,0.232509,TRUE
VENESAT-1,33414,2008-055A,"October 29, 2008",1436.1,78° W,TRACK IT,-78,VENESAT-1,Venezuela,78° W,-0.669131,0.229644,TRUE
INTELSAT 4 (PAS 4),23636,1995-040A,"August 3, 1995",1482.6,77.8° W,TRACK IT,-77.8,INTELSAT 4 (PAS 4),Intelsat,77.8° W,-0.671721,0.228921,TRUE
OPS 6391 (FLTSATCOM 1),10669,1978-016A,"February 9, 1978",1454.5,77.6° W,TRACK IT,-77.6,OPS 6391 (FLTSATCOM 1),United States,77.6° W,-0.674302,0.228195,TRUE
SAKURA 2A (CS-2A),13782,1983-006A,"February 4, 1983",1448.6,77° W,TRACK IT,-77,SAKURA 2A (CS-2A),Japan,77° W,-0.681998,0.226001,TRUE
QUETZSAT 1,37826,2011-054A,"September 29, 2011",1436.1,77° W,TRACK IT,-77,QUETZSAT 1,Mexico,77° W,-0.681998,0.226001,TRUE
STTW-5,21833,1991-088A,"December 28, 1991",632.6,76.7° W,TRACK IT,-76.7,STTW-5,China,76.7° W,-0.685818,0.224894,TRUE
ASIASAT 1,20558,1990-030A,"April 7, 1990",1451,76.5° W,TRACK IT,-76.5,ASIASAT 1,AsiaSat,76.5° W,-0.688355,0.224153,TRUE
INTELSAT 16,36397,2010-006A,"February 12, 2010",1436.1,76.2° W,TRACK IT,-76.2,INTELSAT 16,Intelsat,76.2° W,-0.692143,0.223036,TRUE
INSAT 3E,27951,2003-043E,"September 27, 2003",1428.5,75.6° W,TRACK IT,-75.6,INSAT 3E,India,75.6° W,-0.699663,0.220784,TRUE
GOES 16,41866,2016-071A,"November 19, 2016",1436.1,75.2° W,TRACK IT,-75.2,GOES 16,United States,75.2° W,-0.704634,0.219269,TRUE
STARONE C3,38991,2012-062A,"November 10, 2012",1436.1,75° W,TRACK IT,-75,STARONE C3,Brazil,75° W,-0.707107,0.218508,TRUE
SGDC,42692,2017-023B,"May 4, 2017",1436.1,74.8° W,TRACK IT,-74.8,SGDC,Brazil,74.8° W,-0.709571,0.217744,TRUE
EUTELSAT 2-F4,22028,1992-041B,"July 9, 1992",1453.4,74.7° W,TRACK IT,-74.7,EUTELSAT 2-F4,Europe,74.7° W,-0.710799,0.217361,TRUE
ARABSAT 3A,25638,1999-009A,"February 26, 1999",1438.1,74.1° W,TRACK IT,-74.1,ARABSAT 3A,Arabsat,74.1° W,-0.718126,0.215049,TRUE
GALAXY 3R,23741,1995-069A,"December 15, 1995",1436.1,74° W,TRACK IT,-74,GALAXY 3R,United States,74° W,-0.719340,0.214661,TRUE
AMAZONAS 4A,39616,2014-011A,"March 22, 2014",1436.1,74° W,TRACK IT,-74,AMAZONAS 4A,Spain,74° W,-0.719340,0.214661,TRUE
ASTRA 1D,23331,1994-070A,"November 1, 1994",1436.1,73.2° W,TRACK IT,-73.2,ASTRA 1D,SES,73.2° W,-0.728969,0.211537,TRUE
NIMIQ 5,35873,2009-050A,"September 17, 2009",1436.1,72.7° W,TRACK IT,-72.7,NIMIQ 5,Canada,72.7° W,-0.734915,0.209563,TRUE
FENGYUN 2B,26382,2000-032A,"June 25, 2000",1438.9,72.6° W,TRACK IT,-72.6,FENGYUN 2B,China,72.6° W,-0.736097,0.209166,TRUE
AMC-3 (GE-3),24936,1997-050A,"September 4, 1997",1436.1,72° W,TRACK IT,-72,AMC-3 (GE-3),SES,72° W,-0.743145,0.206773,TRUE
ARSAT 1,40272,2014-062B,"October 16, 2014",1436.1,71.8° W,TRACK IT,-71.8,ARSAT 1,Argentina,71.8° W,-0.745476,0.205970,TRUE
ECHOSTAR 1,23754,1995-073A,"December 28, 1995",1455.5,70.4° W,TRACK IT,-70.4,ECHOSTAR 1,United States,70.4° W,-0.761538,0.200280,TRUE
STAR ONE C2,32768,2008-018B,"April 18, 2008",1436.1,70° W,TRACK IT,-70,STAR ONE C2,Brazil,70° W,-0.766044,0.198632,TRUE
STAR ONE C4,40733,2015-034B,"July 15, 2015",1436.1,70° W,TRACK IT,-70,STAR ONE C4,Brazil,70° W,-0.766044,0.198632,TRUE
VIASAT 2,42740,2017-029A,"June 1, 2017",1436.1,69.9° W,TRACK IT,-69.9,VIASAT 2,United States,69.9° W,-0.767165,0.198219,TRUE
ANIK B1 (TELESAT-4),11153,1978-116A,"December 16, 1978",1442.7,69.7° W,TRACK IT,-69.7,ANIK B1 (TELESAT-4),Canada,69.7° W,-0.769400,0.197390,TRUE
ETS 6,23230,1994-056A,"August 28, 1994",861.8,68.4° W,TRACK IT,-68.4,ETS 6,Japan,68.4° W,-0.783693,0.191945,TRUE
WESTAR 1,7250,1974-022A,"April 13, 1974",1441.5,68° W,TRACK IT,-68,WESTAR 1,United States,68° W,-0.788011,0.190250,TRUE
GALAXY 10R,26056,2000-002A,"January 25, 2000",1445.2,67.9° W,TRACK IT,-67.9,GALAXY 10R,United States,67.9° W,-0.789084,0.189825,TRUE
EKRAN 15,16729,1986-038A,"May 24, 1986",1491.5,67.8° W,TRACK IT,-67.8,EKRAN 15,Russia,67.8° W,-0.790155,0.189399,TRUE
AEHF 2 (USA 235),38254,2012-019A,"May 4, 2012",1436.1,67.4° W,TRACK IT,-67.4,AEHF 2 (USA 235),United States,67.4° W,-0.794415,0.187689,TRUE
ASTRA 1H,25785,1999-033A,"June 18, 1999",1436.1,67.1° W,TRACK IT,-67.1,ASTRA 1H,SES,67.1° W,-0.797584,0.186402,TRUE
SES-10,42432,2017-017A,"March 30, 2017",1436.1,66.9° W,TRACK IT,-66.9,SES-10,SES,66.9° W,-0.799685,0.185540,TRUE
THAICOM 1,22931,1993-078B,"December 18, 1993",1451.9,65.7° W,TRACK IT,-65.7,THAICOM 1,Thailand,65.7° W,-0.812084,0.180324,TRUE
INMARSAT 3-F2,24307,1996-053A,"September 6, 1996",1440.2,65.2° W,TRACK IT,-65.2,INMARSAT 3-F2,Inmarsat,65.2° W,-0.817145,0.178127,TRUE
EUTE 65W,41382,2016-014A,"March 9, 2016",1436.1,65.2° W,TRACK IT,-65.2,EUTE 65W,Europe,65.2° W,-0.817145,0.178127,TRUE
STAR ONE C1,32293,2007-056A,"November 14, 2007",1436.1,65° W,TRACK IT,-65,STAR ONE C1,Brazil,65° W,-0.819152,0.177245,TRUE
DFH-3 1,23415,1994-080A,"November 29, 1994",1426.2,63.5° W,TRACK IT,-63.5,DFH-3 1,China,63.5° W,-0.833886,0.170558,TRUE
TELSTAR 19V,43562,2018-059A,"July 22, 2018",1436.1,63° W,TRACK IT,-63,TELSTAR 19V,Canada,63° W,-0.838671,0.168303,TRUE
TELSTAR 14R,37602,2011-021A,"May 20, 2011",1436.1,63° W,TRACK IT,-63,TELSTAR 14R,Canada,63° W,-0.838671,0.168303,TRUE
LES 6,3431,1968-081D,"September 26, 1968",1436.5,62.7° W,TRACK IT,-62.7,LES 6,United States,62.7° W,-0.841511,0.166943,TRUE
ECHOSTAR 15,36792,2010-034A,"July 10, 2010",1436.1,61.6° W,TRACK IT,-61.6,ECHOSTAR 15,United States,61.6° W,-0.851727,0.161921,TRUE
ECHOSTAR 16,39008,2012-065A,"November 20, 2012",1436.1,61.5° W,TRACK IT,-61.5,ECHOSTAR 16,United States,61.5° W,-0.852640,0.161461,TRUE
ECHOSTAR XVIII,41592,2016-039B,"June 18, 2016",1436.1,61.3° W,TRACK IT,-61.3,ECHOSTAR XVIII,United States,61.3° W,-0.854459,0.160540,TRUE
AMAZONAS 3,39078,2013-006A,"February 7, 2013",1436.1,61° W,TRACK IT,-61,AMAZONAS 3,Spain,61° W,-0.857167,0.159156,TRUE
AMAZONAS 5,42934,2017-053A,"September 11, 2017",1436.1,61° W,TRACK IT,-61,AMAZONAS 5,Spain,61° W,-0.857167,0.159156,TRUE
AMAZONAS 2,35942,2009-054A,"September 30, 2009",1436.1,60.9° W,TRACK IT,-60.9,AMAZONAS 2,Spain,60.9° W,-0.858065,0.158693,TRUE
GARUDA 1,26089,2000-011A,"February 12, 2000",1441.3,60.4° W,TRACK IT,-60.4,GARUDA 1,Indonesia,60.4° W,-0.862514,0.156373,TRUE
ARABSAT 1D (ANIK D2),15383,1984-113B,"November 8, 1984",1455.9,60.1° W,TRACK IT,-60.1,ARABSAT 1D (ANIK D2),Arabsat,60.1° W,-0.865151,0.154975,TRUE
GOES 13,29155,2006-018A,"May 24, 2006",1436.1,59.7° W,TRACK IT,-59.7,GOES 13,United States,59.7° W,-0.868632,0.153105,TRUE
RADUGA 1M-1,32373,2007-058A,"December 9, 2007",1448.7,59.6° W,TRACK IT,-59.6,RADUGA 1M-1,Russia,59.6° W,-0.869495,0.152636,TRUE
ANIK A3 (TELESAT-3),7790,1975-038A,"May 7, 1975",1439.3,58.8° W,TRACK IT,-58.8,ANIK A3 (TELESAT-3),Canada,58.8° W,-0.876307,0.148870,TRUE
MEASAT 2,24653,1996-063B,"November 13, 1996",1445,58.4° W,TRACK IT,-58.4,MEASAT 2,Malaysia,58.4° W,-0.879649,0.146976,TRUE
INTELSAT 21,38749,2012-045A,"August 19, 2012",1436.1,58° W,TRACK IT,-58,INTELSAT 21,Intelsat,58° W,-0.882948,0.145075,TRUE
KOREASAT 1,23639,1995-041A,"August 5, 1995",1444.8,57.7° W,TRACK IT,-57.7,KOREASAT 1,South Korea,57.7° W,-0.885394,0.143644,TRUE
OPTUS A1 (AUSSAT 1),15993,1985-076B,"August 27, 1985",1443.4,56.9° W,TRACK IT,-56.9,OPTUS A1 (AUSSAT 1),Australia,56.9° W,-0.891798,0.139810,TRUE
ECHOSTAR 5,25913,1999-050A,"September 23, 1999",1458.3,55.7° W,TRACK IT,-55.7,ECHOSTAR 5,United States,55.7° W,-0.901077,0.134008,TRUE
INTELSAT 34,40874,2015-039A,"August 20, 2015",1436.2,55.5° W,TRACK IT,-55.5,INTELSAT 34,Intelsat,55.5° W,-0.902585,0.133035,TRUE
OPS 3811,5204,1971-039A,"May 5, 1971",1467,55.2° W,TRACK IT,-55.2,OPS 3811,United States,55.2° W,-0.904827,0.131573,TRUE
INMARSAT 5-F2,40384,2015-005A,"February 1, 2015",1436.1,55° W,TRACK IT,-55,INMARSAT 5-F2,Inmarsat,55° W,-0.906308,0.130596,TRUE
OPS 7329,4510,1970-069A,"September 1, 1970",1434.9,54.7° W,TRACK IT,-54.7,OPS 7329,United States,54.7° W,-0.908508,0.129128,TRUE
OPS 6392 (FLTSATCOM 2),11353,1979-038A,"May 4, 1979",1461.3,54.6° W,TRACK IT,-54.6,OPS 6392 (FLTSATCOM 2),United States,54.6° W,-0.909236,0.128638,TRUE
APSTAR 1A,23943,1996-039A,"July 3, 1996",1451.7,54.4° W,TRACK IT,-54.4,APSTAR 1A,China,54.4° W,-0.910684,0.127656,TRUE
INMARSAT 3-F5,25153,1998-006B,"February 4, 1998",1436.1,54° W,TRACK IT,-54,INMARSAT 3-F5,Inmarsat,54° W,-0.913545,0.125689,TRUE
OPS 3148,3889,1969-036A,"April 13, 1969",1434.3,53.9° W,TRACK IT,-53.9,OPS 3148,United States,53.9° W,-0.914254,0.125196,TRUE
TDRS 9,27389,2002-011A,"March 8, 2002",1438.9,53.3° W,TRACK IT,-53.3,TDRS 9,United States,53.3° W,-0.918446,0.122230,TRUE
INTELSAT 23,38867,2012-057A,"October 14, 2012",1436.1,53° W,TRACK IT,-53,INTELSAT 23,Intelsat,53° W,-0.920505,0.120743,TRUE
COSMOS 2319,23653,1995-045A,"August 30, 1995",1437.2,52.7° W,TRACK IT,-52.7,COSMOS 2319,Russia,52.7° W,-0.922538,0.119252,TRUE
