Name,NORAD ID,Int'l Code,Launch date,"Period
[minutes]",Longitude,Action,Longitude,sat_name,sat_operator,long_string,x_coord,y_coord,include
GALAXY 3,15308,1984-101A,"September 21, 1984",1442.3,158.5° W,TRACK IT,-158.5,GALAXY 3,United States,158.5° W,0.622515,0.241839,TRUE
TELSTAR 303,15826,1985-048D,"June 17, 1985",1441.8,158.4° W,TRACK IT,-158.4,TELSTAR 303,United States,158.4° W,0.621148,0.242175,TRUE
BRAZILSAT 1,15561,1985-015B,"February 8, 1985",1446.5,157.7° W,TRACK IT,-157.7,BRAZILSAT 1,Brazil,157.7° W,0.611527,0.244502,TRUE
WESTAR 2,7466,1974-075A,"October 10, 1974",1442.1,157.3° W,TRACK IT,-157.3,WESTAR 2,United States,157.3° W,0.605988,0.245815,TRUE
SBS 6,20872,1990-091A,"October 12, 1990",1454.7,156° W,TRACK IT,-156,SBS 6,United States,156° W,0.587785,0.250000,TRUE
CHINASAT 5B (SINOSAT 1),25404,1998-044A,"July 18, 1998",1451.8,155.8° W,TRACK IT,-155.8,CHINASAT 5B (SINOSAT 1),China,155.8° W,0.584958,0.250633,TRUE
RADUGA-1 8,34264,2009-010A,"February 28, 2009",1442.5,155.7° W,TRACK IT,-155.7,RADUGA-1 8,Russia,155.7° W,0.583541,0.250948,TRUE
NILESAT,25311,1998-024A,"April 28, 1998",1478.5,155.5° W,TRACK IT,-155.5,NILESAT,Egypt,155.5° W,0.580703,0.251576,TRUE
ECHOSTAR 3,25004,1997-059A,"October 5, 1997",1456.4,154.1° W,TRACK IT,-154.1,ECHOSTAR 3,United States,154.1° W,0.560639,0.255885,TRUE
FENGYUN 2A,24834,1997-029A,"June 10, 1997",1499.2,153.6° W,TRACK IT,-153.6,FENGYUN 2A,China,153.6° W,0.553392,0.257387,TRUE
OPS 2222,3334,1968-063A,"August 6, 1968",1450.9,153.3° W,TRACK IT,-153.3,OPS 2222,United States,153.3° W,0.549023,0.258279,TRUE
SPACENET 3R,18951,1988-018A,"March 11, 1988",1444.9,152.7° W,TRACK IT,-152.7,SPACENET 3R,United States,152.7° W,0.540240,0.260041,TRUE
GOES 12,26871,2001-031A,"July 23, 2001",1452.5,151.2° W,TRACK IT,-151.2,GOES 12,United States,151.2° W,0.518027,0.264322,TRUE
EUTE 21A (EUTE W3),25673,1999-018A,"April 12, 1999",1463,150.6° W,TRACK IT,-150.6,EUTE 21A (EUTE W3),Europe,150.6° W,0.509041,0.265984,TRUE
EKRAN 8,13056,1982-009A,"February 5, 1982",1440.9,148.2° W,TRACK IT,-148.2,EKRAN 8,Russia,148.2° W,0.472551,0.272338,TRUE
TELECOM 1A,15159,1984-081B,"August 4, 1984",1463.5,148.1° W,TRACK IT,-148.1,TELECOM 1A,France,148.1° W,0.471012,0.272592,TRUE
ARABSAT 1B,15825,1985-048C,"June 17, 1985",1434,146.8° W,TRACK IT,-146.8,ARABSAT 1B,Arabsat,146.8° W,0.450878,0.275824,TRUE
COSMOS 2172,21789,1991-079A,"November 22, 1991",1434.8,146.4° W,TRACK IT,-146.4,COSMOS 2172,Russia,146.4° W,0.444635,0.276790,TRUE
NAHUEL I2 (ANIK C2),14133,1983-059B,"June 18, 1983",1452.8,146.2° W,TRACK IT,-146.2,NAHUEL I2 (ANIK C2),Argentina,146.2° W,0.441506,0.277268,TRUE
BEIDOU 1,26599,2000-069A,"October 30, 2000",1455.9,145.7° W,TRACK IT,-145.7,BEIDOU 1,China,145.7° W,0.433659,0.278448,TRUE
RASCOM 1,32387,2007-063A,"December 21, 2007",1453.6,145.4° W,TRACK IT,-145.4,RASCOM 1,RASCOM,145.4° W,0.428935,0.279146,TRUE
GALAXY 6,20873,1990-091B,"October 12, 1990",1443.5,143.7° W,TRACK IT,-143.7,GALAXY 6,United States,143.7° W,0.401948,0.282955,TRUE
INTELSAT 709,23915,1996-035A,"June 15, 1996",1451.9,143.5° W,TRACK IT,-143.5,INTELSAT 709,Intelsat,143.5° W,0.398749,0.283387,TRUE
COSMOS 2397,27775,2003-015A,"April 24, 2003",1433.2,142.7° W,TRACK IT,-142.7,COSMOS 2397,Russia,142.7° W,0.385906,0.285080,TRUE
W75/ABS-1B (HOT BIRD 3),24931,1997-049A,"September 2, 1997",1405.2,142.7° W,TRACK IT,-142.7,W75/ABS-1B (HOT BIRD 3),Europe,142.7° W,0.385906,0.285080,TRUE
INSAT 2R (ARABSAT 1C),21894,1992-010B,"February 26, 1992",1459.2,142.3° W,TRACK IT,-142.3,INSAT 2R (ARABSAT 1C),India,142.3° W,0.379456,0.285906,TRUE
NATO 3D,15391,1984-115A,"November 14, 1984",1516.5,140.6° W,TRACK IT,-140.6,NATO 3D,NATO,140.6° W,0.351842,0.289258,TRUE
NATO 3C,11115,1978-106A,"November 19, 1978",1462.2,139.6° W,TRACK IT,-139.6,NATO 3C,NATO,139.6° W,0.335452,0.291112,TRUE
EUTE 16B (HB 4),25237,1998-013A,"February 27, 1998",1465.3,139.3° W,TRACK IT,-139.3,EUTE 16B (HB 4),Europe,139.3° W,0.330514,0.291651,TRUE
AMC-18,29644,2006-054B,"December 8, 2006",1436.1,139° W,TRACK IT,-139,AMC-18,SES,139° W,0.325568,0.292181,TRUE
AMC-8 (GE-8),26639,2000-081B,"December 20, 2000",1436.1,138.9° W,TRACK IT,-138.9,AMC-8 (GE-8),SES,138.9° W,0.323917,0.292356,TRUE
SPACEWAY 1,28644,2005-015A,"April 26, 2005",1436.1,138.9° W,TRACK IT,-138.9,SPACEWAY 1,United States,138.9° W,0.323917,0.292356,TRUE
WESTAR 4,13069,1982-014A,"February 26, 1982",1443.4,138.4° W,TRACK IT,-138.4,WESTAR 4,United States,138.4° W,0.315649,0.293219,TRUE
GALAXY 2,14365,1983-098A,"September 22, 1983",1437.7,138° W,TRACK IT,-138,GALAXY 2,United States,138° W,0.309017,0.293893,TRUE
GOES 17,43226,2018-022A,"March 1, 2018",1436.1,137.2° W,TRACK IT,-137.2,GOES 17,United States,137.2° W,0.295708,0.295197,TRUE
INTELSAT 5 (PAS 5),24916,1997-046A,"August 28, 1997",1436.1,136.9° W,TRACK IT,-136.9,INTELSAT 5 (PAS 5),United States,136.9° W,0.290702,0.295672,TRUE
INSAT 2B,22724,1993-048B,"July 22, 1993",1440.5,136.9° W,TRACK IT,-136.9,INSAT 2B,India,136.9° W,0.290702,0.295672,TRUE
EXPRESS 1,23319,1994-067A,"October 13, 1994",1442.6,135.9° W,TRACK IT,-135.9,EXPRESS 1,Russia,135.9° W,0.273959,0.297194,TRUE
WGS F6 (USA 244),39222,2013-041A,"August 8, 2013",1436.1,135.2° W,TRACK IT,-135.2,WGS F6 (USA 244),United States,135.2° W,0.262189,0.298206,TRUE
AMC-7 (GE-7),26495,2000-054B,"September 14, 2000",1436.1,135° W,TRACK IT,-135,AMC-7 (GE-7),SES,135° W,0.258819,0.298487,TRUE
AMC-4 (GE-4),25954,1999-060A,"November 13, 1999",1436.1,134.9° W,TRACK IT,-134.9,AMC-4 (GE-4),SES,134.9° W,0.257133,0.298627,TRUE
BSAT-2A,26720,2001-011B,"March 8, 2001",1452,134.1° W,TRACK IT,-134.1,BSAT-2A,Japan,134.1° W,0.243615,0.299707,TRUE
THAICOM 3,24768,1997-016A,"April 16, 1997",1458.2,133.2° W,TRACK IT,-133.2,THAICOM 3,Thailand,133.2° W,0.228351,0.300852,TRUE
INTELSAT 603,20523,1990-021A,"March 14, 1990",1447.6,133.2° W,TRACK IT,-133.2,INTELSAT 603,Intelsat,133.2° W,0.228351,0.300852,TRUE
GALAXY 15,28884,2005-041A,"October 13, 2005",1436.1,133° W,TRACK IT,-133,GALAXY 15,Intelsat,133° W,0.224951,0.301097,TRUE
INTELSAT 601,21765,1991-075A,"October 29, 1991",1446,132.9° W,TRACK IT,-132.9,INTELSAT 601,Intelsat,132.9° W,0.223250,0.301218,TRUE
EUTE 28A (EB 1),26719,2001-011A,"March 8, 2001",1436.1,132.8° W,TRACK IT,-132.8,EUTE 28A (EB 1),Europe,132.8° W,0.221548,0.301338,TRUE
ARABSAT 1DR (TELSTAR 3A),14234,1983-077A,"July 28, 1983",1446.9,131.3° W,TRACK IT,-131.3,ARABSAT 1DR (TELSTAR 3A),Arabsat,131.3° W,0.195946,0.303027,TRUE
AMC-11 (GE-11),28252,2004-017A,"May 19, 2004",1436.1,131° W,TRACK IT,-131,AMC-11 (GE-11),SES,131° W,0.190809,0.303339,TRUE
AMC-1 (GE-1),24315,1996-054A,"September 8, 1996",1436.1,130.8° W,TRACK IT,-130.8,AMC-1 (GE-1),SES,130.8° W,0.187381,0.303543,TRUE
TELE-X,19919,1989-027A,"April 2, 1989",1452,130.5° W,TRACK IT,-130.5,TELE-X,Sweden,130.5° W,0.182236,0.303842,TRUE
ECHOSTAR 4,25331,1998-028A,"May 7, 1998",1455.3,129.6° W,TRACK IT,-129.6,ECHOSTAR 4,United States,129.6° W,0.166769,0.304690,TRUE
COSMOS 637,7229,1974-017A,"March 26, 1974",1428.8,129.6° W,TRACK IT,-129.6,COSMOS 637,Russia,129.6° W,0.166769,0.304690,TRUE
SES-15,42709,2017-026A,"May 18, 2017",1436.1,129.1° W,TRACK IT,-129.1,SES-15,SES,129.1° W,0.158158,0.305128,TRUE
GALAXY 12,27715,2003-013B,"April 9, 2003",1436.1,129° W,TRACK IT,-129,GALAXY 12,Intelsat,129° W,0.156434,0.305212,TRUE
CIEL-2,33453,2008-063A,"December 10, 2008",1436.1,128.8° W,TRACK IT,-128.8,CIEL-2,Canada,128.8° W,0.152986,0.305379,TRUE
GORIZONT 29,22907,1993-072A,"November 18, 1993",1438.3,128.8° W,TRACK IT,-128.8,GORIZONT 29,Russia,128.8° W,0.152986,0.305379,TRUE
ARABSAT 2A,23948,1996-040A,"July 9, 1996",1451.2,128.7° W,TRACK IT,-128.7,ARABSAT 2A,Arabsat,128.7° W,0.151261,0.305461,TRUE
STTW-T1,14670,1984-008A,"January 29, 1984",160.3,128.6° W,TRACK IT,-128.6,STTW-T1,China,128.6° W,0.149535,0.305543,TRUE
GOES 15,36411,2010-008A,"March 4, 2010",1436,128.2° W,TRACK IT,-128.2,GOES 15,United States,128.2° W,0.142629,0.305858,TRUE
OLYMPUS 1,20122,1989-053A,"July 12, 1989",1420.5,128° W,TRACK IT,-128,OLYMPUS 1,Europe,128° W,0.139173,0.306010,TRUE
HISPASAT 1C,26071,2000-007A,"February 3, 2000",1451.6,127.5° W,TRACK IT,-127.5,HISPASAT 1C,Spain,127.5° W,0.130526,0.306373,TRUE
AMOS 2,28132,2003-059A,"December 27, 2003",1448.8,127.3° W,TRACK IT,-127.3,AMOS 2,Israel,127.3° W,0.127065,0.306512,TRUE
AURORA 2,21392,1991-037A,"May 29, 1991",1454.3,127.1° W,TRACK IT,-127.1,AURORA 2,United States,127.1° W,0.123601,0.306647,TRUE
